type	by	post_message	picture	link	link_domain	post_published	post_published_unix	likes	likes_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
status	post_user_166283443520449	_Se ela for por outro (partido) vai cair numa contradição grave. Ela volta a ser comum_ líder do PSB na Câmara_ deputado Beto Albuquerque (RS)				2013-10-05T17:01:26+0000	1380992486	1	1	0	0	0	0	0	1	166283443520449_245949845553808	https://www.facebook.com/166283443520449/posts/245949845553808
status	post_user_166283443520449	PARABENS_ MARINA !!!!! Continuaremos o trabalho por aqui_ até a sua PRESIDENCIA.Seremos sim_ um partido da coalisão_ junto ao que voce escolheu para governar_ mais um partido_ movido por ideias e projetos_ mais honesto_ verdadeiramente representativo_ novo e mais _limpinho_ do que a sujeirada que vimos ate_ aqui. Até a VITORIA_ querida. \o/ Wooohooo...				2013-10-05T16:58:36+0000	1380992316	0	0	0	0	0	0	0	0	166283443520449_245949275553865	https://www.facebook.com/166283443520449/posts/245949275553865
status	post_user_166283443520449	Marina Silva só voto em vc se vc sair como presidenta! Eduardo campo tou fora_ nesse caso voto nulo...				2013-10-05T16:43:21+0000	1380991401	0	0	0	0	0	0	0	0	166283443520449_245945145554278	https://www.facebook.com/166283443520449/posts/245945145554278
photo	post_user_166283443520449	MARINA SILVA - O DIA D (O beijo da traição)  Hoje Marina Silva decidiu seu futuro político. Filiou-se a um partido tradicional (PSB) com o único objetivo de vencer o PT. Marina tentou criar sua #REDE e não se filiou a nenhum dos inúmeros partidos do Brasil_ justamente por achar que nenhum deles seria capaz de construir a nova política do século XXI. Agora está com Eduardo Campos. Ele não serviu antes_ mas serve agora. Bem incoerente_ não? Revela-se aí oportunismo puro! Atitude que ela condena no discurso. Penso que Marina não conseguiu registrar a #REDE por incompetência pura! Perdeu dois longos anos 2011 e 2012 e resolveu na última hora (fevereiro/2013) fundar o partido. Portanto_ o erro foi dela e não do TSE. Não cola o discurso de vítima! Penso que política se faz com o coração e não com o fígado? Qual o seu programa para o Brasil_ ganhar do PT? Política pequena! Afirmo agora_ Marina perdeu duas vezes. Perdeu a eleição de 2014 e o que é muito_ mas muito pior_ perdeu a confiança dos jovens que lutam por uma nova ordem na política e que enxergavam em Marina essa líder. Marina Silva traiu a juventude que ela tentou amealhar. Uma irresponsabilidade que a história não perdoará. Para os jovens deixo meu sincero recado_ levantem vocês a bandeira_ não esperem de políticos velhos novos procedimentos. Se vocês querem uma nova política_ façam!	https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-prn2/t1/q71/s480x480/1377577_513764728701416_486514777_n.jpg	https://www.facebook.com/photo.php?fbid=513764728701416&set=o.166283443520449&type=1	facebook.com	2013-10-05T16:24:14+0000	1380990254	1	1	1	1	0	0	0	2	166283443520449_513764728701416	https://www.facebook.com/166283443520449/posts/513764728701416
photo	post_user_166283443520449	Resultado das eleições para 2014	https://scontent-b.xx.fbcdn.net/hphotos-prn2/t1.0-9/q71/s480x480/1186196_748604938499659_955905878_n.jpg	https://www.facebook.com/photo.php?fbid=748604938499659&set=o.166283443520449&type=1	facebook.com	2013-10-05T16:04:30+0000	1380989070	0	0	2	2	0	0	0	2	166283443520449_748604938499659	https://www.facebook.com/166283443520449/posts/748604938499659
photo	post_user_166283443520449	NA REDE PELO LADO DE DENTRO!  A pescadora foi pescada! Marina pensou em jogar a #REDE na Dilma e acabou mesmo nas malhas do Eduardo Campos.	https://scontent-a.xx.fbcdn.net/hphotos-ash3/t1.0-9/q71/s480x480/1380230_513750885369467_241540441_n.jpg	https://www.facebook.com/photo.php?fbid=513750885369467&set=o.166283443520449&type=1	facebook.com	2013-10-05T15:34:25+0000	1380987265	0	0	1	1	0	0	0	1	166283443520449_513750885369467	https://www.facebook.com/166283443520449/posts/513750885369467
status	post_user_166283443520449	NA REDE PELO LADO DE FORA!  Marina decide se filiar ao PSB para ser vice de Campos em 2014. Marina se mostrou mais uma vez oportunista. O discurso de nova democracia_ nova política é um blá-blá para enganar a juventude e os incautos. Vai se unir ao aliado de poucas horas do PT! Ao também oportunista Eduardo Campos que mamou nas tetas do governo Lula e Dilma por longos e longos anos. Os sonhadores foram enganados! Para a juventude deixo meu recado. Façam vocês um partido! Não se entusiasmem com discursos novos de políticos velhos. Neste triste quadro de demagogos e aproveitadores eu fico com o tradicional. Voto na Dilma que pelo menos tem coerência e se não faz um governo perfeito_ faz o governo possível.				2013-10-05T14:49:13+0000	1380984553	0	0	0	0	0	0	0	0	166283443520449_245919998890126	https://www.facebook.com/166283443520449/posts/245919998890126
link	post_user_166283443520449	O medo de Marina Silva e da Rede Sustentabilidade está cada vez maior! http://www.bemparana.com.br/noticia/279963/lula-se-revezara-com-dilma-nos-palanques-em-2014#.UlAgnyqz1y0 Pesquisas apontam Lula sendo a única maneira do PT continuar no poder_ pesquisas de intenção de voto monstram; Dilma(PT): 31% ; Marina Silva(sem partido) 29% ; Aécio Neves(PSDB) 8%	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCv94gQ5e-F_8cT&w=154&h=154&url=http%3A%2F%2Fupload.portalparanaense.com.br%2Fimage%2Fnoticia%2Ftb%2Fnoticia_967104_img1_paranaclube-avai.jpg	http://www.bemparana.com.br/noticia/279963/lula-se-revezara-com-dilma-nos-palanques-em-2014#.UlAgnyqz1y0	bemparana.com.br	2013-10-05T14:28:03+0000	1380983283	0	0	0	0	0	0	0	0	166283443520449_245915275557265	
status	post_user_166283443520449	Marina Silva_ não se intimide diante deste golpe do Gov. Federal_ filie-se a outro partido e seja Presidente do Brasil. Preferencialmente PDT_ pois_ junto com Reguffe pelo bem do País.				2013-10-05T14:16:51+0000	1380982611	0	0	0	0	0	0	0	0	166283443520449_245900052225454	https://www.facebook.com/166283443520449/posts/245900052225454
status	post_user_166283443520449	O partido não foi registrado_ mas Marina já está registrada nas nossas esperanças..assim com nas eleições passadas_ não havia estrutura partidária_ assim será nessa_ estamos com você..temos um aliado que não se encontra nos projetos dos adversários...Deus_ o justo Juiz!!!				2013-10-05T13:06:18+0000	1380978378	1	1	0	0	0	0	0	1	166283443520449_245881802227279	https://www.facebook.com/166283443520449/posts/245881802227279
